Name|Ed.|Type|R|Mana cost|CMC|P|T|L|Ability
423712|Shipwreck Moray|AER|Creature - Fish|C|3U|4|0|5||When Shipwreck Moray enters the battlefield, you get EEEE (four energy counters).  Pay E: Shipwreck Moray gets +2/-2 until end of turn.
423765|Shock|AER|Instant|C|R|1||||Shock deals 2 damage to target creature or player.
423766|Siege Modification|AER|Enchantment - Aura|U|1RR|3||||Enchant creature or Vehicle  As long as enchanted permanent is a Vehicle, it's a creature in addition to its other types.  Enchanted creature gets +3/+0 and has first strike.
423792|Silkweaver Elite|AER|Creature - Elf Archer|C|2G|3|2|2||Reach (This creature can block creatures with flying.)  Revolt - When Silkweaver Elite enters the battlefield, if a permanent you controlled left the battlefield this turn, draw a card.
423713|Skyship Plunderer|AER|Creature - Human Pirate|U|1U|2|2|1||Flying  Whenever Skyship Plunderer deals combat damage to a player, for each kind of counter on target permanent or player, give that permanent or player another counter of that kind.
423739|Sly Requisitioner|AER|Creature - Human Artificer|U|4B|5|2|2||Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for 1.)  Whenever a nontoken artifact you control is put into a graveyard from the battlefield, create a 1/1 colorless Servo artifact creature token.
423689|Solemn Recruit|AER|Creature - Dwarf Warrior|R|1WW|3|2|2||Double strike  Revolt - At the beginning of your end step, if a permanent you controlled left the battlefield this turn, put a +1/+1 counter on Solemn Recruit.
423851|Spire of Industry|AER|Land|R||0||||T: Add C to your mana pool.  T, Pay 1 life: Add one mana of any color to your mana pool. Activate this ability only if you control an artifact.
423803|Spire Patrol|AER|Creature - Human Soldier|U|2WU|4|3|2||Flying  When Spire Patrol enters the battlefield, tap target creature an opponent controls. That creature doesn't untap during its controller's next untap step.
423690|Sram, Senior Edificer|AER|Legendary Creature - Dwarf Advisor|R|1W|2|2|2||Whenever you cast an Aura, Equipment, or Vehicle spell, draw a card.
423691|Sram's Expertise|AER|Sorcery|R|2WW|4||||Create three 1/1 colorless Servo artifact creature tokens.  You may cast a card with converted mana cost 3 or less from your hand without paying its mana cost.
425701|Submerged Boneyard|AER|Land|C||0||||Submerged Boneyard enters the battlefield tapped.  T: Add U or B to your mana pool.
423767|Sweatworks Brawler|AER|Creature - Human Artificer|C|3R|4|3|3||Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for 1.)  Menace
423714|Take into Custody|AER|Instant|C|U|1||||Tap target creature. It doesn't untap during its controller's next untap step.
423804|Tezzeret the Schemer|AER|Planeswalker - Tezzeret|M|2UB|4|||5|"+1: Create a colorless artifact token named Etherium Cell with ""T, Sacrifice this artifact: Add one mana of any color to your mana pool.""  -2: Target creature gets +X/-X until end of turn, where X is the number of artifacts you control.  -7: You get an emblem with ""At the beginning of combat on your turn, target artifact you control becomes an artifact creature with base power and toughness 5/5."""
425697|Tezzeret, Master of Metal|AER|Planeswalker - Tezzeret|M|4UB|6|||5|+1: Reveal cards from the top of your library until you reveal an artifact card. Put that card into your hand and the rest on the bottom of your library in a random order.  -3: Target opponent loses life equal to the number of artifacts you control.  -8: Gain control of all artifacts and creatures target opponent controls.
425698|Tezzeret's Betrayal|AER|Sorcery|R|3UB|5||||Destroy target creature. You may search your library and/or graveyard for a card named Tezzeret, Master of Metal, reveal it, and put it into your hand. If you search your library this way, shuffle it.
425700|Tezzeret's Simulacrum|AER|Artifact Creature - Golem|U|3|3|2|3||T: Target opponent loses 1 life. If you control a Tezzeret planeswalker, that player loses 3 life instead.
423805|Tezzeret's Touch|AER|Enchantment - Aura|U|1UB|3||||Enchant artifact  Enchanted artifact is a creature with base power and toughness 5/5 in addition to its other types.  When enchanted artifact is put into a graveyard, return that card to its owner's hand.
423692|Thopter Arrest|AER|Enchantment|U|2W|3||||When Thopter Arrest enters the battlefield, exile target artifact or creature an opponent controls until Thopter Arrest leaves the battlefield.
425696|Tranquil Expanse|AER|Land|C||0||||Tranquil Expanse enters the battlefield tapped.  T: Add G or W to your mana pool.
423844|Treasure Keeper|AER|Artifact Creature - Construct|U|4|4|3|3||When Treasure Keeper dies, reveal cards from the top of your library until you reveal a nonland card with converted mana cost 3 or less. You may cast that card without paying its mana cost. Put all revealed cards not cast this way on the bottom of your library in a random order.
423715|Trophy Mage|AER|Creature - Human Wizard|U|2U|3|2|2||When Trophy Mage enters the battlefield, you may search your library for an artifact card with converted mana cost 3, reveal it, put it into your hand, then shuffle your library.
423793|Unbridled Growth|AER|Enchantment - Aura|C|G|1||||"Enchant land  Enchanted land has ""T: Add one mana of any color to your mana pool.""  Sacrifice Unbridled Growth: Draw a card."
423845|Universal Solvent|AER|Artifact|C|1|1||||7, T, Sacrifice Universal Solvent: Destroy target permanent.
423846|Untethered Express|AER|Artifact - Vehicle|U|4|4|4|4||Trample  Whenever Untethered Express attacks, put a +1/+1 counter on it.  Crew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)
423740|Vengeful Rebel|AER|Creature - Aetherborn Warrior|U|2B|3|3|2||Revolt - When Vengeful Rebel enters the battlefield, if a permanent you controlled left the battlefield this turn, target creature an opponent controls gets -3/-3 until end of turn.
423847|Verdant Automaton|AER|Artifact Creature - Construct|C|2|2|1|2||3G: Put a +1/+1 counter on Verdant Automaton.
423848|Walking Ballista|AER|Artifact Creature - Construct|R|XX|0|0|0||Walking Ballista enters the battlefield with X +1/+1 counters on it.  4: Put a +1/+1 counter on Walking Ballista.  Remove a +1/+1 counter from Walking Ballista: It deals 1 damage to target creature or player.
423849|Watchful Automaton|AER|Artifact Creature - Construct|C|3|3|2|2||2U: Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)
423850|Welder Automaton|AER|Artifact Creature - Construct|C|2|2|2|1||3R: Welder Automaton deals 1 damage to each opponent.
423806|Weldfast Engineer|AER|Creature - Human Artificer|U|1BR|3|3|3||At the beginning of combat on your turn, target artifact creature you control gets +2/+0 until end of turn.
423716|Whir of Invention|AER|Instant|R|XUUU|3||||Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for 1.)  Search your library for an artifact card with converted mana cost X or less, put it onto the battlefield, then shuffle your library.
423807|Winding Constrictor|AER|Creature - Snake|U|BG|2|2|3||If one or more counters would be put on an artifact or creature you control, that many plus one of each of those kinds of counters are put on that permanent instead.  If you would get one or more counters, you get that many plus one of each of those kinds of counters instead.
423717|Wind-Kin Raiders|AER|Creature - Human Artificer|U|4UU|6|4|3||Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for 1.)  Flying
423768|Wrangle|AER|Sorcery|C|1R|2||||Gain control of target creature with power 4 or less until end of turn. Untap that creature. It gains haste until end of turn.
423741|Yahenni, Undying Partisan|AER|Legendary Creature - Aetherborn Vampire|R|2B|3|2|2||Haste  Whenever a creature an opponent controls dies, put a +1/+1 counter on Yahenni, Undying Partisan.  Sacrifice another creature: Yahenni gains indestructible until end of turn.
423742|Yahenni's Expertise|AER|Sorcery|R|2BB|4||||All creatures get -3/-3 until end of turn.  You may cast a card with converted mana cost 3 or less from your hand without paying its mana cost.
179538|Anathemancer|ARB|Creature - Zombie Wizard|U|1BR|3|2|2||When Anathemancer enters the battlefield, it deals damage to target player equal to the number of nonbasic lands that player controls.  Unearth 5BR (5BR: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)
179597|Architects of Will|ARB|Artifact Creature - Human Wizard|C|2UB|4|3|3||When Architects of Will enters the battlefield, look at the top three cards of target player's library, then put them back in any order.  Cycling UB (UB, Discard this card: Draw a card.)
185054|Ardent Plea|ARB|Enchantment|U|1WU|3||||Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)  Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom of your library in a random order.)
189652|Arsenal Thresher|ARB|Artifact Creature - Construct|C|2WBU|4|2|2||As Arsenal Thresher enters the battlefield, you may reveal any number of other artifact cards from your hand. Arsenal Thresher enters the battlefield with a +1/+1 counter on it for each card revealed this way.
180608|Aven Mimeomancer|ARB|Creature - Bird Wizard|R|1WU|3|3|1||Flying  At the beginning of your upkeep, you may put a feather counter on target creature. If you do, that creature has base power and toughness 3/1 and has flying for as long as it has a feather counter on it.
188963|Bant Sojourners|ARB|Creature - Human Soldier|C|1GWU|4|2|4||When you cycle Bant Sojourners or it dies, you may create a 1/1 white Soldier creature token.  Cycling 2W (2W, Discard this card: Draw a card.)
188975|Bant Sureblade|ARB|Creature - Human Soldier|C|GUW|2|2|1||As long as you control another multicolored permanent, Bant Sureblade gets +1/+1 and has first strike.
179545|Behemoth Sledge|ARB|Artifact - Equipment|U|1GW|3||||Equipped creature gets +2/+2 and has lifelink and trample.  Equip 3
185057|Bituminous Blast|ARB|Instant|U|3BR|5||||Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom of your library in a random order.)  Bituminous Blast deals 4 damage to target creature.
179406|Blitz Hellion|ARB|Creature - Hellion|R|3RG|5|7|7||Trample, haste  At the beginning of the end step, Blitz Hellion's owner shuffles it into his or her library.
185053|Bloodbraid Elf|ARB|Creature - Elf Berserker|U|2RG|4|3|2||Haste  Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom of your library in a random order.)
179607|Brainbite|ARB|Sorcery|C|2UB|4||||Target opponent reveals his or her hand. You choose a card from it. That player discards that card.  Draw a card.
161291|Breath of Malfegor|ARB|Instant|C|3BR|5||||Breath of Malfegor deals 5 damage to each opponent.
185064|Captured Sunlight|ARB|Sorcery|C|2GW|4||||Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom of your library in a random order.)  You gain 4 life.
180604|Cerodon Yearling|ARB|Creature - Beast|C|RW|2|2|2||Vigilance, haste
189653|Cloven Casting|ARB|Enchantment|R|5UR|7||||Whenever you cast a multicolored instant or sorcery spell, you may pay 1. If you do, copy that spell. You may choose new targets for the copy.
179624|Colossal Might|ARB|Instant|C|RG|2||||Target creature gets +4/+2 and gains trample until end of turn.
179621|Crystallization|ARB|Enchantment - Aura|C|GUW|2||||Enchant creature  Enchanted creature can't attack or block.  When enchanted creature becomes the target of a spell or ability, exile that creature.
